configuration,fold,qubits,hardware_measurements,accuracy_mean,accuracy_standard_deviation,accuracy_minimum,accuracy_maximum,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_minimum,balanced_accuracy_maximum,roc_auc_mean,roc_auc_standard_deviation,roc_auc_minimum,roc_auc_maximum,test_relative_frobenius_error_mean,test_relative_frobenius_error_standard_deviation,test_relative_frobenius_error_minimum,test_relative_frobenius_error_maximum,test_kernel_correlation_mean,test_kernel_correlation_standard_deviation,test_kernel_correlation_minimum,test_kernel_correlation_maximum,qpu_seconds_mean,qpu_seconds_standard_deviation,qpu_seconds_minimum,qpu_seconds_maximum
clamp_pca4,0,4,2,0.73125,0.00883883476483189,0.725,0.7375,0.7312500000000001,0.008838834764831813,0.7250000000000001,0.7375,0.8053125000000001,0.011048543456039806,0.7975000000000001,0.8131250000000001,0.12469290697318776,0.02159418141146834,0.109423514862966,0.1399622990834095,0.9931506921742713,0.0031842609337822004,0.9908990796749265,0.9954023046736161,1337.0,0.0,1337.0,1337.0
fabiana_native8,0,8,2,0.95625,0.04419417382415922,0.925,0.9875,0.95625,0.04419417382415922,0.925,0.9875,0.9915624999999999,0.004861359120657568,0.9881249999999999,0.995,0.557589878299157,0.2678822916700791,0.36816849329945145,0.7470112632988625,0.8869475780862687,0.15228486882306658,0.7792659146693744,0.9946292415031629,1348.0,0.0,1348.0,1348.0
clamp_native10,0,10,2,0.83125,0.00883883476483189,0.825,0.8375,0.83125,0.00883883476483189,0.825,0.8375,0.924375,0.004419417382415985,0.9212499999999999,0.9275,0.5339240063440278,0.04597190443205745,0.50141696097606,0.5664310517119955,0.9511134492577655,0.009232831329540928,0.9445848516150955,0.9576420469004355,1354.0,0.0,1354.0,1354.0
