configuration,mode,metric,estimate,ci_low,ci_high,bootstrap_replicates,test_rows,bootstrap_design
clamp_pca4,noisy_aer,roc_auc,0.8406250000000001,0.7849947916666669,0.8904166666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,exact,accuracy,0.6166666666666667,0.5583333333333333,0.6708333333333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,exact,balanced_accuracy,0.6166666666666667,0.5583333333333333,0.6708333333333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,exact,roc_auc,0.74125,0.67625,0.801671875,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,hardware,accuracy,0.6125,0.5583333333333332,0.6666666666666666,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,hardware,balanced_accuracy,0.6125,0.5583333333333332,0.6666666666666666,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,hardware,roc_auc,0.7225,0.6558333333333334,0.7847916666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,ideal_aer,accuracy,0.625,0.5708333333333333,0.6791666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,ideal_aer,balanced_accuracy,0.625,0.5708333333333333,0.6791666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,ideal_aer,roc_auc,0.7293750000000001,0.6641666666666667,0.792296875,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,noisy_aer,accuracy,0.625,0.5708333333333333,0.6791666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,noisy_aer,balanced_accuracy,0.625,0.5708333333333333,0.6791666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
ember2018_pca4,noisy_aer,roc_auc,0.7302083333333332,0.665625,0.7925,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,exact,accuracy,0.975,0.9541666666666666,0.9916666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,exact,balanced_accuracy,0.975,0.9541666666666666,0.9916666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,exact,roc_auc,0.9820833333333333,0.9595833333333333,0.9995833333333333,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,hardware,accuracy,0.9583333333333334,0.9333333333333332,0.9791666666666666,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,hardware,balanced_accuracy,0.9583333333333334,0.9333333333333332,0.9791666666666666,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,hardware,roc_auc,0.98,0.9575,0.9964583333333333,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,ideal_aer,accuracy,0.975,0.9541666666666666,0.9916666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,ideal_aer,balanced_accuracy,0.975,0.9541666666666666,0.9916666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,ideal_aer,roc_auc,0.9789583333333333,0.9535416666666666,0.9995833333333333,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,noisy_aer,accuracy,0.975,0.9541666666666666,0.9916666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,noisy_aer,balanced_accuracy,0.975,0.9541666666666666,0.9916666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_native8,noisy_aer,roc_auc,0.9804166666666667,0.9572916666666665,0.9987499999999999,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,exact,accuracy,0.9375,0.9041666666666668,0.9666666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,exact,balanced_accuracy,0.9375,0.9041666666666668,0.9666666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,exact,roc_auc,0.9627083333333332,0.9304140624999999,0.988125,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,hardware,accuracy,0.9291666666666667,0.8958333333333334,0.9583333333333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,hardware,balanced_accuracy,0.9291666666666667,0.8958333333333334,0.9583333333333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,hardware,roc_auc,0.96125,0.9297916666666666,0.986875,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,ideal_aer,accuracy,0.9333333333333332,0.9,0.9625,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,ideal_aer,balanced_accuracy,0.9333333333333332,0.9,0.9625,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,ideal_aer,roc_auc,0.9572916666666665,0.9227083333333334,0.985,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,noisy_aer,accuracy,0.9375,0.9041666666666668,0.9666666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,noisy_aer,balanced_accuracy,0.9375,0.9041666666666668,0.9666666666666667,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
fabiana_pca4,noisy_aer,roc_auc,0.9577083333333335,0.9237500000000001,0.9852083333333335,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
