dataset,fold,native_configuration,pca_configuration,exact_pca_minus_native,hardware_pca_minus_native,native_hardware_minus_exact,pca_hardware_minus_exact,difference_in_differences
clamp,0,clamp_native10,clamp_pca4,-0.06250000000000011,-0.08749999999999991,-0.025000000000000133,-0.04999999999999993,-0.0249999999999998
clamp,1,clamp_native10,clamp_pca4,-0.13749999999999996,-0.0625,-0.02499999999999991,0.050000000000000044,0.07499999999999996
clamp,2,clamp_native10,clamp_pca4,-0.07500000000000007,-0.15000000000000013,0.0625,-0.012500000000000067,-0.07500000000000007
fabiana,0,fabiana_native8,fabiana_pca4,-0.050000000000000044,0.012499999999999956,-0.0625,0.0,0.0625
fabiana,1,fabiana_native8,fabiana_pca4,-0.03749999999999998,-0.04999999999999993,0.0,-0.012499999999999956,-0.012499999999999956
fabiana,2,fabiana_native8,fabiana_pca4,-0.02499999999999991,-0.04999999999999993,0.012500000000000067,-0.012499999999999956,-0.025000000000000022
